room_id;room_type;city;borough;neighborhood;reviews;overall_satisfaction;accommodates;bedrooms;price;property_type
7678884;Shared room;Sao Paulo;SAO PAULO;Consolação;0;0.0;1;1.0;21.0;Apartment
7308831;Shared room;Sao Paulo;SAO PAULO;Bela Vista;0;0.0;2;1.0;19.0;Apartment
7291591;Shared room;Sao Paulo;SAO PAULO;Vila Mariana;0;0.0;1;1.0;19.0;House
11720230;Shared room;Sao Paulo;SAO PAULO;Consolação;0;0.0;1;1.0;11.0;Apartment
1160407;Shared room;Sao Paulo;SAO PAULO;Bela Vista;0;0.0;1;1.0;22.0;Apartment
13064520;Shared room;Sao Paulo;SAO PAULO;Santa Cecília;0;0.0;2;1.0;14.0;Apartment
13460953;Shared room;Sao Paulo;MAIRIPORA;Mairiporã;0;0.0;4;1.0;19.0;House
18312356;Shared room;Sao Paulo;SAO PAULO;Penha;0;0.0;2;1.0;28.0;Apartment
2171317;Shared room;Sao Paulo;SAO PAULO;República;1;0.0;1;1.0;15.0;Apartment
14085873;Shared room;Sao Paulo;SAO PAULO;Santa Cecília;0;0.0;2;1.0;27.0;Apartment
5465675;Shared room;Sao Paulo;SAO PAULO;Liberdade;0;0.0;1;1.0;25.0;Apartment
5904354;Shared room;Sao Paulo;SAO PAULO;República;0;0.0;1;1.0;31.0;Loft
161994;Shared room;Sao Paulo;SAO PAULO;República;0;0.0;2;1.0;41.0;Apartment
8461457;Shared room;Sao Paulo;SAO PAULO;República;0;0.0;2;1.0;18.0;Apartment
2123962;Shared room;Sao Paulo;SAO PAULO;Liberdade;0;0.0;1;1.0;31.0;Apartment
3078560;Shared room;Sao Paulo;SAO PAULO;República;5;5.0;2;1.0;10.0;Apartment
15113890;Shared room;Sao Paulo;SAO PAULO;Consolação;0;0.0;2;1.0;21.0;Apartment
13461779;Shared room;Sao Paulo;MAIRIPORA;Mairiporã;0;0.0;3;1.0;11.0;House
12504639;Shared room;Sao Paulo;SAO PAULO;Bela Vista;0;0.0;2;1.0;31.0;Apartment
16530756;Shared room;Sao Paulo;SAO PAULO;Bela Vista;0;0.0;1;1.0;15.0;Apartment
4957156;Shared room;Sao Paulo;SAO PAULO;Bela Vista;0;0.0;8;1.0;21.0;Bed & Breakfast
9011288;Shared room;Sao Paulo;SAO PAULO;Bela Vista;1;0.0;1;1.0;19.0;Apartment
